replicate,compartment_nr,treatment,compartment,treatment_compartment,color,rootweight[mg],QD[nmol],QD[nmol/root]
21,111,control,young,control_young,3,6.0063,2.62E-05,0.0001
22,119,control,young,control_young,3,7.0871,5.24E-05,0.0003
23,127,control,young,control_young,3,6.6819,6.39E-05,0.0003
24,131,control,young,control_young,3,9.2815,3.67E-05,0.0002
25,139,lowP,young,lowp_young,3,9.4134,2.78E-05,0.0002
26,143,lowP,young,lowp_young,3,7.1653,2.93E-05,0.0001
27,147,lowP,young,lowp_young,3,12.5083,4.58E-05,0.0004
28,151,lowP,young,lowp_young,3,10.1438,7.71E-05,0.0007
29,159,lowP,young,lowp_young,3,7.9454,1.81E-05,0.0001
30,163,lowP,young,lowp_young,3,5.7862,3.45E-05,0.0001
31,167,lowP,young,lowp_young,3,8.697,1.95E-05,0.0001
32,171,lowP,young,lowp_young,3,10.2587,5.33E-05,0.0004
33,175,lowP,young,lowp_young,3,10.0427,1.55E-05,0
34,179,lowP,young,lowp_young,3,8.7732,4.71E-05,0.0003
35,183,lowP,young,lowp_young,3,7.9241,1.28E-05,0
36,NA,lowP,young,lowp_young,3,NA,NA,NA
37,191,lowP,young,lowp_young,3,6.9286,2.76E-05,0.0001
38,195,lowP,young,lowp_young,3,7.0676,3.25E-05,0.0001
39,NA,lowP,young,lowp_young,3,NA,NA,NA
40,NA,lowP,young,lowp_young,3,NA,NA,NA
