replicate,compartment_nr,treatment,compartment,treatment_compartment,rootweight[mg],1st_injection_QD[nmol QD/ mg root],1st_injection_P_from_QD[nmol P/ mg root],2nd_injection_QD[nmol QD/ mg root],2nd_injection_P_from_QD[nmol P/ mg root],3rd_injection_QD[nmol QD/ mg root],3rd_injection_P_from_QD[nmol P/ mg root],sample_P,samples_in_pool,weight_sample_P[mg],Conc [nmol P/ml],WL880.0,/3,conc [nmol P/10ml],conc [nmol P/mg root],%Pfrom1st,%Pfrom2nd,%Pfrom3rd,%PfromQD
14,71,control,young,control_young,7.6788,9.45E-04,6.69E-01,3.34E-04,2.37E-01,3.50E-05,2.48E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,75,control,young,control_young,8.4136,6.33E-04,4.48E-01,2.33E-04,1.65E-01,2.94E-05,2.08E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,79,control,young,control_young,9.3521,1.21E-03,8.57E-01,3.66E-04,2.59E-01,1.52E-05,1.08E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,95,control,young,control_young,9.0996,1.11E-03,7.86E-01,4.34E-04,3.07E-01,6.11E-05,4.33E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,99,control,young,control_young,17.0481,7.15E-04,5.06E-01,1.17E-04,8.28E-02,1.13E-05,8.00E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,103,control,young,control_young,8.4696,9.15E-04,6.48E-01,2.95E-04,2.09E-01,2.39E-05,1.69E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,107,control,young,control_young,9.2896,8.57E-04,6.07E-01,4.09E-04,2.90E-01,3.81E-05,2.70E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,111,control,young,control_young,6.0063,6.56E-04,4.65E-01,3.24E-04,2.29E-01,2.62E-05,1.86E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,119,control,young,control_young,7.0871,1.15E-03,8.14E-01,1.42E-04,1.01E-01,5.24E-05,3.71E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,127,control,young,control_young,6.6819,1.60E-04,1.13E-01,2.61E-04,1.85E-01,6.39E-05,4.52E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,131,control,young,control_young,9.2815,1.51E-03,1.07E+00,4.64E-04,3.29E-01,3.67E-05,2.60E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,139,lowP,young,lowp_young,9.4134,1.85E-04,1.31E-01,1.59E-04,1.13E-01,2.78E-05,1.97E-02,"pool3: 139, 147","3: 139, 147",4.6,22.617,0.006,7.539,75.390,16.389,3.7265,1.4647,0.1590,5.3501
26,143,lowP,young,lowp_young,7.1653,NA,NA,1.05E-04,7.44E-02,2.93E-05,2.07E-02,"pool4: 151, 159, 163","151, 159, 163",3.9,17.077,0.005,5.692,56.923,14.596,6.3651,3.9901,0.5821,10.9372
27,147,lowP,young,lowp_young,12.5083,1.54E-03,1.09E+00,5.19E-04,3.68E-01,4.58E-05,3.24E-02,"pool5: 175, 231","175, 231",7.4,33.234,0.009,11.078,110.780,14.970,3.8195,1.6889,0.8385,6.3469
28,151,lowP,young,lowp_young,10.1438,1.20E-03,8.50E-01,5.26E-04,3.72E-01,7.71E-05,5.46E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,159,lowP,young,lowp_young,7.9454,1.42E-03,1.01E+00,2.50E-04,1.77E-01,1.81E-05,1.28E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,163,lowP,young,lowp_young,5.7862,9.76E-04,6.91E-01,3.07E-04,2.17E-01,3.45E-05,2.44E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,167,lowP,young,lowp_young,8.697,1.18E-03,8.36E-01,2.49E-04,1.76E-01,1.95E-05,1.38E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,171,lowP,young,lowp_young,10.2587,2.83E-04,2.00E-01,2.46E-04,1.74E-01,5.33E-05,3.77E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,175,lowP,young,lowp_young,10.0427,9.33E-04,6.61E-01,9.49E-05,6.72E-02,1.55E-05,1.10E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,179,lowP,young,lowp_young,8.7732,1.29E-03,9.13E-01,8.13E-05,5.76E-02,4.71E-05,3.34E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,183,lowP,young,lowp_young,7.9241,5.06E-04,3.58E-01,2.26E-04,1.60E-01,1.28E-05,9.06E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,lowP,young,lowp_young,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,191,lowP,young,lowp_young,6.9286,1.01E-03,7.15E-01,5.27E-05,3.73E-02,2.76E-05,1.95E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,195,lowP,young,lowp_young,7.0676,1.09E-03,7.72E-01,2.86E-04,2.03E-01,3.25E-05,2.30E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,lowP,young,lowp_young,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,lowP,young,lowp_young,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,207,lowP,young,lowp_young,6.5679,1.07E-03,7.58E-01,3.15E-04,2.23E-01,9.57E-06,6.78E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,211,lowP,young,lowp_young,12.7961,6.65E-04,4.71E-01,4.43E-04,3.14E-01,5.12E-05,3.63E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,215,lowP,young,lowp_young,14.4038,8.23E-04,5.83E-01,3.01E-04,2.13E-01,5.22E-05,3.70E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,219,lowP,young,lowp_young,6.3242,6.10E-04,4.32E-01,6.56E-05,4.65E-02,2.85E-05,2.02E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,223,lowP,young,lowp_young,8.3047,6.93E-04,4.91E-01,1.70E-04,1.20E-01,7.41E-05,5.25E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,227,lowP,young,lowp_young,9.5601,6.87E-04,4.86E-01,1.63E-03,1.15E+00,1.85E-04,1.31E-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,231,lowP,young,lowp_young,11.5261,6.82E-04,4.83E-01,8.73E-05,6.18E-02,2.45E-05,1.73E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,lowP,young,lowp_young,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,239,lowP,young,lowp_young,1.1706,2.36E-04,1.67E-01,3.92E-04,2.78E-01,6.48E-05,4.59E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
